DestinationPort,FlowDuration,TotalFwdPackets,TotalBackwardPackets,TotalLengthOfFwdPackets,TotalLengthOfBwdPackets,FwdPacketLengthMax,FwdPacketLengthMin,FwdPacketLengthMean,FwdPacketLengthStd,BwdPacketLengthMax,BwdPacketLengthMin,BwdPacketLengthMean,BwdPacketLengthStd,FlowBytes/s,FlowPackets/s,FlowIATMean,FlowIATStd,FlowIATMax,FlowIATMin,FwdIATTotal,FwdIATMean,FwdIATStd,FwdIATMax,FwdIATMin,BwdIATTotal,BwdIATMean,BwdIATStd,BwdIATMax,BwdIATMin,FwdPSHFlags,BwdPSHFlags,FwdURGFlags,BwdURGFlags,FwdHeaderLength,BwdHeaderLength,FwdPackets/s,BwdPackets/s,MinPacketLength,MaxPacketLength,PacketLengthMean,PacketLengthStd,PacketLengthVariance,FINFlagCount,SYNFlagCount,RSTFlagCount,PSHFlagCount,ACKFlagCount,URGFlagCount,CWEFlagCount,ECEFlagCount,Down/UpRatio,AveragePacketSize,AvgFwdSegmentSize,AvgBwdSegmentSize,Fwd1HeaderLength,FwdAvgBytes/Bulk,FwdAvgPackets/Bulk,FwdAvgBulkRate,BwdAvgBytes/Bulk,BwdAvgPackets/Bulk,BwdAvgBulkRate,SubflowFwdPackets,SubflowFwdBytes,SubflowBwdPackets,SubflowBwdBytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,ActiveMean,ActiveStd,ActiveMax,ActiveMin,IdleMean,IdleStd,IdleMax,IdleMin
80,10249731,5,0,30,0,6,6,6,0,0,0,0,0,2.926906082,0.48781768,2562432.75,5123528.855,10200000,4,10200000,2562432.75,5123528.855,10200000,4,0,0,0,0,0,0,0,0,0,100,0,0.48781768,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,07.02,6,0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,2005,0,2005,2005,10200000,0,10200000,10200000
80,10248713,5,0,30,0,6,6,6,0,0,0,0,0,2.92719681,0.487866135,2562178.25,5121697.919,10200000,3,10200000,2562178.25,5121697.919,10200000,3,0,0,0,0,0,0,0,0,0,100,0,0.487866135,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,07.02,6,0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,3988,0,3988,3988,10200000,0,10200000,10200000
80,10243884,5,0,30,0,6,6,6,0,0,0,0,0,2.9285767,0.488096117,2560971,5121276.021,10200000,1,10200000,2560971,5121276.021,10200000,1,0,0,0,0,0,0,0,0,0,100,0,0.488096117,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,07.02,6,0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,999,0,999,999,10200000,0,10200000,10200000
80,10245812,4,0,24,0,6,6,6,0,0,0,0,0,2.342420493,0.390403416,3415270.667,5913693.73,10200000,995,10200000,3415270.667,5913693.73,10200000,995,0,0,0,0,0,0,0,0,0,80,0,0.390403416,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,07.05,6,0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,1996,0,1996,1996,10200000,0,10200000,10200000
80,10240816,5,0,30,0,6,6,6,0,0,0,0,0,2.929454059,0.488242343,2560204,5117063.213,10200000,1,10200000,2560204,5117063.213,10200000,1,0,0,0,0,0,0,0,0,0,100,0,0.488242343,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,07.02,6,0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,5018,0,5018,5018,10200000,0,10200000,10200000
80,10238873,5,0,30,0,6,6,6,0,0,0,0,0,2.930009973,0.488334995,2559718.25,5118111.855,10200000,3,10200000,2559718.25,5118111.855,10200000,3,0,0,0,0,0,0,0,0,0,100,0,0.488334995,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,07.02,6,0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,1987,0,1987,1987,10200000,0,10200000,10200000
80,10234870,5,0,30,0,6,6,6,0,0,0,0,0,2.93115594,0.48852599,2558717.5,5116092.355,10200000,4,10200000,2558717.5,5116092.355,10200000,4,0,0,0,0,0,0,0,0,0,100,0,0.48852599,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,07.02,6,0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,2014,0,2014,2014,10200000,0,10200000,10200000
80,9081543,4,0,24,0,6,6,6,0,0,0,0,0,2.642722718,0.440453786,3027181,5242496.041,9080694,319,9081543,3027181,5242496.041,9080694,319,0,0,0,0,0,0,0,0,0,80,0,0.440453786,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,07.05,6,0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,849,0,849,849,9080694,0,9080694,9080694
80,9046760,5,0,30,0,6,6,6,0,0,0,0,0,3.316104329,0.552684055,2261690,4522716.691,9045765,1,9046760,2261690,4522716.691,9045765,1,0,0,0,0,0,0,0,0,0,100,0,0.552684055,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,07.02,6,0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,995,0,995,995,9045765,0,9045765,9045765
80,9038751,4,0,24,0,6,6,6,0,0,0,0,0,2.655234114,0.442539019,3012917,5218520.993,9038746,1,9038751,3012917,5218520.993,9038746,1,0,0,0,0,0,0,0,0,0,80,0,0.442539019,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,07.05,6,0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,5,0,5,5,9038746,0,9038746,9038746
