DestinationPort,FlowDuration,TotalFwdPackets,TotalBackwardPackets,TotalLengthOfFwdPackets,TotalLengthOfBwdPackets,FwdPacketLengthMax,FwdPacketLengthMin,FwdPacketLengthMean,FwdPacketLengthStd,BwdPacketLengthMax,BwdPacketLengthMin,BwdPacketLengthMean,BwdPacketLengthStd,FlowBytes/s,FlowPackets/s,FlowIATMean,FlowIATStd,FlowIATMax,FlowIATMin,FwdIATTotal,FwdIATMean,FwdIATStd,FwdIATMax,FwdIATMin,BwdIATTotal,BwdIATMean,BwdIATStd,BwdIATMax,BwdIATMin,FwdPSHFlags,BwdPSHFlags,FwdURGFlags,BwdURGFlags,FwdHeaderLength,BwdHeaderLength,FwdPackets/s,BwdPackets/s,MinPacketLength,MaxPacketLength,PacketLengthMean,PacketLengthStd,PacketLengthVariance,FINFlagCount,SYNFlagCount,RSTFlagCount,PSHFlagCount,ACKFlagCount,URGFlagCount,CWEFlagCount,ECEFlagCount,Down/UpRatio,AveragePacketSize,AvgFwdSegmentSize,AvgBwdSegmentSize,Fwd1HeaderLength,FwdAvgBytes/Bulk,FwdAvgPackets/Bulk,FwdAvgBulkRate,BwdAvgBytes/Bulk,BwdAvgPackets/Bulk,BwdAvgBulkRate,SubflowFwdPackets,SubflowFwdBytes,SubflowBwdPackets,SubflowBwdBytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,ActiveMean,ActiveStd,ActiveMax,ActiveMin,IdleMean,IdleStd,IdleMax,IdleMin
53,258,2,2,90,222,45,45,45,0,111,111,111,0,1209302.326,15503.87597,86,105.484596,205,4,49,49,0,49,49,4,4,0,4,4,0,0,0,0,64,64,7751.937984,7751.937984,45,111,71.4,36.1496888,1306.8,0,0,0,0,0,0,0,0,1,89.25,45,111,64,0,0,0,0,0,0,2,90,2,222,-1,-1,1,32,0,0,0,0,0,0,0,0
52376,762,1,1,0,0,0,0,0,0,0,0,0,0,0,2624.671916,762,0,762,762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,1312.335958,1312.335958,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,247,259,0,32,0,0,0,0,0,0,0,0
6102,58,1,1,0,0,0,0,0,0,0,0,0,0,0,34482.75862,58,0,58,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,17241.37931,17241.37931,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,20,0,0,0,0,0,0,1,0,1,0,31,255,0,20,0,0,0,0,0,0,0,0
80,29242,1,1,0,0,0,0,0,0,0,0,0,0,0,68.39477464,29242,0,29242,29242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,34.19738732,34.19738732,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,431,122,0,32,0,0,0,0,0,0,0,0
57400,47,1,1,0,0,0,0,0,0,0,0,0,0,0,42553.19149,47,0,47,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,21276.59574,21276.59574,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,20,0,0,0,0,0,0,1,0,1,0,288,253,0,20,0,0,0,0,0,0,0,0
53,295,2,2,86,204,43,43,43,0,102,102,102,0,983050.8475,13559.32203,98.33333333,165.9949798,290,1,4,4,0,4,4,1,1,0,1,1,0,0,0,0,64,64,6779.661017,6779.661017,43,102,66.6,32.31563089,1044.3,0,0,0,0,0,0,0,0,1,83.25,43,102,64,0,0,0,0,0,0,2,86,2,204,-1,-1,1,32,0,0,0,0,0,0,0,0
53,207,2,2,60,124,30,30,30,0,62,62,62,0,888888.8889,19323.6715,69,114.3153533,201,3,3,3,0,3,3,3,3,0,3,3,0,0,0,0,64,64,9661.835749,9661.835749,30,62,42.8,17.52712184,307.2,0,0,0,0,0,0,0,0,1,53.5,30,62,64,0,0,0,0,0,0,2,60,2,124,-1,-1,1,32,0,0,0,0,0,0,0,0
53,166,2,2,72,136,36,36,36,0,68,68,68,0,1253012.048,24096.38554,55.33333333,89.77935917,159,3,3,3,0,3,3,4,4,0,4,4,0,0,0,0,64,64,12048.19277,12048.19277,36,68,48.8,17.52712184,307.2,0,0,0,0,0,0,0,0,1,61,36,68,64,0,0,0,0,0,0,2,72,2,136,-1,-1,1,32,0,0,0,0,0,0,0,0
53,199,2,2,46,46,23,23,23,0,23,23,23,0,462311.5578,20100.50251,66.33333333,113.1606528,197,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,64,64,10050.25126,10050.25126,23,23,23,0,0,0,0,0,0,0,0,0,0,1,28.75,23,23,64,0,0,0,0,0,0,2,46,2,46,-1,-1,1,32,0,0,0,0,0,0,0,0
10087,18,1,1,0,0,0,0,0,0,0,0,0,0,0,111111.1111,18,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,55555.55556,55555.55556,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,20,0,0,0,0,0,0,1,0,1,0,58,256,0,20,0,0,0,0,0,0,0,0
